business_name,business_postal_code,inspection_date,month,day,inspection_score,risk_category
TAQUERIA EL FAROLITO,94110,2017-11-27,11,27,85.0,High Risk
Patxi's Chicago Pizza,94102,2018-04-09,4,9,94.0,Moderate Risk
MITCHELLS ICE CREAM,94110,2017-06-27,6,27,94.0,Low Risk
SF Food Market,94124,2017-09-19,9,19,84.0,Moderate Risk
Pressed Juicery,94105,2017-11-07,11,7,92.0,Low Risk
Golden State Grill,94112,2019-03-06,3,6,89.0,High Risk
Izakaya Roku,94103,2019-04-05,4,5,77.0,Low Risk
Luen Fat Market,94133,2017-08-28,8,28,90.0,Low Risk
CITY'S CHOICE,94107,2018-05-09,5,9,90.0,Moderate Risk
Sun Maxim's Bakery,94122,2018-06-27,6,27,88.0,Moderate Risk
Ha Nam Ninh Restaurant,94109,2018-03-08,3,8,85.0,Moderate Risk
The Dry Dock,94123,2019-04-30,4,30,98.0,Low Risk
Green Heart Foods LLC,94107,2016-11-10,11,10,91.0,Low Risk
Jack In the Box #558,94118,2017-07-14,7,14,96.0,Low Risk
Burger King #6414,94112,2017-10-25,10,25,90.0,Low Risk
Jack In the Box #558,94118,2018-07-10,7,10,96.0,Low Risk
City View Restaurant,94111,2019-04-03,4,3,79.0,Low Risk
EL TORO TAQUERIA,94110,2017-07-21,7,21,81.0,High Risk
Cafe Meuse,94109,2018-01-02,1,2,83.0,Low Risk
STARBUCKS,94105,2019-06-11,6,11,96.0,Low Risk
Thai House Express On Castro,94114,2016-12-15,12,15,87.0,Low Risk
La Oaxaquena Bakery and Restaurant,94110,2017-06-30,6,30,67.0,Low Risk
CAFE LA TAZA,94110,2017-07-25,7,25,74.0,Moderate Risk
Spice Kit,94105,2017-10-18,10,18,78.0,High Risk
SUSHI TIME,94114,2018-04-20,4,20,86.0,Low Risk
City Super,94133,2019-04-16,4,16,80.0,Low Risk
St. Regis Hotel San Francisco Main Kitchen,94103,2019-06-06,6,6,88.0,Moderate Risk
CHA-AM RESTAURANT,94107,2016-09-01,9,1,83.0,Low Risk
Foxsister,94110,2019-03-25,3,25,86.0,Moderate Risk
Chili Lemon Garlic,94107,2019-01-28,1,28,83.0,Moderate Risk
Dim Sum Bistro,94133,2017-11-30,11,30,90.0,Low Risk
Burger King 3684,94109,2016-10-20,10,20,88.0,Moderate Risk
San Marcos Restaurante,94134,2019-02-20,2,20,82.0,High Risk
SF NEWA,94102,2016-09-12,9,12,74.0,Low Risk
Pete's on Green,94133,2019-05-29,5,29,88.0,Moderate Risk
Dinosaurs,94132,2018-08-07,8,7,92.0,Moderate Risk
Togo's,94103,2019-01-14,1,14,78.0,Moderate Risk
Credo Restaurant,94104,2019-02-20,2,20,88.0,Low Risk
Silver Cloud,94123,2016-09-19,9,19,82.0,Low Risk
MARTHA & BROS COFFEE CO,94110,2017-08-29,8,29,87.0,Moderate Risk
Whole Foods Market,94103,2017-01-23,1,23,79.0,Moderate Risk
The Bell,94109,2018-02-28,2,28,86.0,Moderate Risk
The Slice,94114,2018-05-16,5,16,91.0,Low Risk
Ella's Cafe,94115,2019-03-15,3,15,75.0,Low Risk
Laurel Court,94108,2018-05-16,5,16,85.0,High Risk
Kindom of Dumpling Homemade,94116,2018-08-01,8,1,90.0,Moderate Risk
CAFE MUMS,94115,2019-01-07,1,7,86.0,Moderate Risk
Lite Bite,94123,2018-03-27,3,27,90.0,Moderate Risk
CROSSROADS CAFE,94107,2018-10-16,10,16,90.0,Low Risk
T C PASTRY,94122,2017-09-20,9,20,90.0,Low Risk
SF Bay Club - Court Cafe,94111,2017-02-14,2,14,86.0,Low Risk
LA LOMA PRODUCE #7,94134,2017-04-13,4,13,77.0,Low Risk
Pacific Eatery,94109,2019-01-18,1,18,86.0,Moderate Risk
MARINA MIDDLE SCHOOL,94123,2017-03-13,3,13,86.0,Low Risk
Le Central Bistro Corp,94108,2019-02-14,2,14,80.0,Low Risk
"Alioto Fish Co., Ltd",94133,2017-11-07,11,7,96.0,Low Risk
Garden Bakery,94133,2017-11-30,11,30,83.0,Low Risk
JASPER'S CORNER TAP & KITCHEN,94102,2019-03-13,3,13,89.0,Moderate Risk
H20 Cafe,94109,2017-09-29,9,29,83.0,Moderate Risk
Tsing's Chinese Restaurant,94127,2017-11-07,11,7,64.0,Moderate Risk
Bibimbar,94104,2017-06-26,6,26,82.0,Low Risk
Fiorella,94121,2018-10-03,10,3,94.0,Moderate Risk
TAQUERIA CAN-CUN  RESTAURANT,94103,2018-03-21,3,21,92.0,Low Risk
Bartlett Hall,94102,2016-09-09,9,9,81.0,Moderate Risk
Lime Tree,94118,2019-06-06,6,6,87.0,High Risk
Papalote,94110,2018-03-06,3,6,90.0,Moderate Risk
Gabby's Market & Deli,94105,2018-01-16,1,16,98.0,Low Risk
XTRA OIL CORP,94124,2016-11-02,11,2,98.0,Low Risk
Mint,94102,2018-05-18,5,18,90.0,Low Risk
Linea,94110,2017-08-04,8,4,96.0,Low Risk
Cafe Troya Fillmore,94115,2018-10-18,10,18,79.0,Low Risk
EggWhite Cafe,94110,2017-10-03,10,3,86.0,Low Risk
Sun Sun Trading co.,94133,2017-04-24,4,24,96.0,Low Risk
Lebeau's Nob Hill Market,94109,2017-08-22,8,22,85.0,Low Risk
Mission Martco,94112,2019-03-08,3,8,96.0,Low Risk
Taqueria Castillo B,94102,2018-08-22,8,22,90.0,Moderate Risk
Trader Joe's,94133,2016-11-09,11,9,92.0,Low Risk
Ly's Vietnamese Cuisine,94123,2019-04-08,4,8,89.0,Low Risk
Gallardo's Mexican Restaurant,94110,2018-04-11,4,11,85.0,Low Risk
Tadich Grill,94111,2019-05-09,5,9,85.0,High Risk
EL RINCONCITO CATRACHO 2,94110,2019-03-12,3,12,74.0,Moderate Risk
360 Gourmet Burrito,94104,2016-12-22,12,22,90.0,Moderate Risk
Bow Hon Restaurant,94108,2016-12-05,12,5,78.0,High Risk
Pabu,94111,2019-05-29,5,29,98.0,Low Risk
Split Bread,94105,2019-03-19,3,19,84.0,Low Risk
YOU SEE SUSHI,94122,2018-12-11,12,11,90.0,Low Risk
Arabi Mediterranean Cuisine,94105,2019-03-04,3,4,76.0,Moderate Risk
GARDEN CT. RESTAURANT & BAR,94105,2017-12-12,12,12,85.0,Moderate Risk
Popeyes Chicken & Biscuits,94115,2019-01-08,1,8,80.0,High Risk
McDonald's,94105,2017-02-17,2,17,84.0,Moderate Risk
Tip Top Market,94102,2017-11-02,11,2,82.0,Moderate Risk
Publico,94103,2018-05-10,5,10,90.0,Moderate Risk
LITTLE HENRY'S,94121,2018-05-01,5,1,90.0,Moderate Risk
Cafe Enchante,94121,2019-03-19,3,19,94.0,Low Risk
LA CANASTA TAKE-OUT,94123,2017-08-30,8,30,84.0,Moderate Risk
BAYVIEW HP MULTI-SERVICE DROP-IN CT,94124,2017-01-31,1,31,94.0,Low Risk
Ristorante Ideale,94133,2019-06-04,6,4,82.0,Moderate Risk
HAI KY MI GIA,94109,2017-02-09,2,9,81.0,Moderate Risk
Star Bagels,94109,2017-08-28,8,28,88.0,Moderate Risk
Yan Yan Seafood Restaurant,94122,2016-08-24,8,24,90.0,Low Risk
BALOMPIE CAFE,94110,2017-11-29,11,29,83.0,High Risk
Nourish Cafe,94118,2018-07-24,7,24,96.0,Low Risk
Tacobar,94115,2018-07-31,7,31,87.0,Low Risk
Amawele's South African Kitchen,94124,2018-07-17,7,17,92.0,Low Risk
Cha Cha Cha on Mission,94110,2018-06-26,6,26,60.0,Moderate Risk
San Raku Restaurant,94109,2019-08-13,8,13,87.0,Low Risk
Hornblower Cruises & Events/SF Spirit,94111,2019-03-19,3,19,82.0,Moderate Risk
Four Barrel Coffee,94103,2019-05-23,5,23,98.0,Low Risk
Bon Appetit Management Company @ Yahoo SF,94103,2019-05-29,5,29,89.0,Moderate Risk
Mission Hunan Restaurant,94103,2018-02-01,2,1,72.0,Low Risk
Juice Craze,94132,2017-03-30,3,30,92.0,Low Risk
Capannina,94123,2017-11-07,11,7,90.0,Low Risk
Yamo Restaurant,94110,2018-06-25,6,25,74.0,High Risk
Tai Chi Restaurant,94109,2018-08-02,8,2,80.0,Moderate Risk
Pica Pica,94103,2016-11-02,11,2,92.0,Moderate Risk
Les Gourmands Bakery,94107,2019-02-11,2,11,90.0,Low Risk
Elixiria,94105,2019-03-19,3,19,89.0,Moderate Risk
Harvest Urban Market,94103,2018-11-27,11,27,75.0,Low Risk
Pho Ha Tien,94127,2018-03-15,3,15,90.0,Moderate Risk
Sushi Uma Inc,94122,2018-05-14,5,14,94.0,Moderate Risk
RICHMOND NEW MAY WAH SUPERMARKET,94118,2018-07-26,7,26,74.0,High Risk
CULINARY ARTS & HOSPITALITY,94112,2017-03-14,3,14,91.0,Low Risk
Shabu House,94132,2018-02-27,2,27,94.0,Low Risk
David's Deli & Bistro,94102,2017-10-04,10,4,79.0,Low Risk
Subway #4066,94121,2018-06-07,6,7,87.0,Low Risk
Gyros on Wheels,94103,2016-10-08,10,8,93.0,High Risk
The Pier Market,94133,2019-05-29,5,29,90.0,Moderate Risk
FISTFUL OF TACOS,94105,2018-08-20,8,20,83.0,Moderate Risk
"Tian Tian Market, Inc.",94133,2019-04-16,4,16,78.0,Moderate Risk
THE LUCKY PIG,94109,2018-08-02,8,2,87.0,Low Risk
Starbucks Coffee,94102,2019-05-03,5,3,98.0,Low Risk
Ginto,94104,2019-03-14,3,14,81.0,Moderate Risk
Bruno's Pizza & Restaurant,94115,2019-01-31,1,31,81.0,Low Risk
Taco Bell,94111,2018-05-24,5,24,98.0,Low Risk
The Battery - Main Kitchen,94111,2019-08-14,8,14,90.0,Moderate Risk
TSING TAO RESTAURANT,94121,2019-03-13,3,13,80.0,High Risk
Focaccia Market Bakery,94103,2017-06-29,6,29,78.0,High Risk
JAVA TRADING CO,94103,2017-01-30,1,30,92.0,Low Risk
EL RINCONCITO CATRACHO 2,94110,2019-03-12,3,12,74.0,High Risk
The Hamlin School,94115,2017-03-15,3,15,91.0,High Risk
Trattoria Da Vittorio,94127,2018-01-11,1,11,81.0,Low Risk
Patxi's Chicago Pizza,94102,2016-10-11,10,11,82.0,Low Risk
The Grub-Bies LLC,94105,2018-05-01,5,1,75.0,High Risk
Sushirrito,94111,2019-03-01,3,1,86.0,Moderate Risk
Wild Flower Cafe,94111,2019-04-26,4,26,77.0,Moderate Risk
Eden Silk Road Cuisine,94102,2018-05-09,5,9,88.0,Low Risk
CHOUQUET'S,94115,2019-02-21,2,21,82.0,Low Risk
CARVER ELEMENTARY SCHOOL,94124,2016-09-06,9,6,96.0,Moderate Risk
Jiangnan Cuisine,94121,2017-04-07,4,7,90.0,Low Risk
Marnee Thai Restaurant,94122,2016-09-28,9,28,86.0,Moderate Risk
EXTREME  PIZZA,94115,2018-09-12,9,12,91.0,High Risk
DRAGON CITY BAKERY & CAFE,94110,2016-12-06,12,6,84.0,Moderate Risk
Union Street Produce,94133,2019-06-06,6,6,94.0,Moderate Risk
The Iron Cactus,94107,2017-08-07,8,7,92.0,Moderate Risk
DR. TEETH AND THE ELECTRIC MAYHEM,94110,2016-11-01,11,1,85.0,High Risk
Spiazzo,94127,2017-11-01,11,1,92.0,Moderate Risk
Cracked & Battered,94107,2018-07-16,7,16,96.0,Moderate Risk
Seal Rock Inn Restaurant,94121,2018-06-20,6,20,77.0,High Risk
Flying Pig Bistro,94103,2018-07-12,7,12,96.0,Low Risk
PEKING WOK RESTAURANT,94124,2017-10-23,10,23,92.0,Low Risk
Marla Bakery,94121,2019-08-13,8,13,94.0,Low Risk
BLUE FRONT DELI,94117,2018-08-14,8,14,90.0,Low Risk
94976 Warehouse Kitchen (Inside Main Warehouse),94107,2019-04-12,4,12,92.0,Low Risk
Subway Sanwich #56406,94132,2017-05-23,5,23,81.0,Moderate Risk
Bohemian Cigar Store,94133,2018-04-17,4,17,86.0,Moderate Risk
China Fun Express,94108,2017-03-22,3,22,87.0,Low Risk
Gyro Xpress Mediterranean Cuis,94114,2017-11-01,11,1,79.0,Low Risk
Parada 22,94117,2019-05-09,5,9,88.0,Moderate Risk
PEKING WOK RESTAURANT,94124,2016-09-19,9,19,100.0,Moderate Risk
Chef Hunan,94112,2018-06-06,6,6,82.0,Moderate Risk
Burger King #4474,94102,2019-02-15,2,15,86.0,Low Risk
Cool Cravings Cafe & Deli,94115,2018-06-21,6,21,87.0,Low Risk
VIRGIN HOTEL SAN FRANCISCO (COMMONS CLUB),94103,2019-05-15,5,15,89.0,Low Risk
Cafe Murano,94110,2018-05-11,5,11,96.0,Low Risk
Specialty's Cafe & Bakery,94104,2017-11-27,11,27,83.0,Low Risk
FAMILY BILLIARDS,94118,2016-10-17,10,17,94.0,Low Risk
L'acajou Bakery and Cafe,94103,2017-12-07,12,7,71.0,High Risk
Wezy,94123,2018-10-25,10,25,94.0,Moderate Risk
LA PAZ RESTAURANT,94110,2016-08-22,8,22,88.0,Low Risk
JERUSULEM,94124,2018-11-15,11,15,86.0,Moderate Risk
TURK & LARKIN DELI,94102,2017-10-23,10,23,79.0,High Risk
Om Indian Cuisine,94117,2019-05-01,5,1,83.0,Moderate Risk
Hawaiian Drive Inn,94134,2017-11-20,11,20,74.0,Moderate Risk
Aube,94115,2018-07-06,7,6,96.0,Moderate Risk
Kitchen Story Cafe,94114,2018-03-13,3,13,83.0,Low Risk
G & H Liquors & Grocery,94102,2018-07-17,7,17,93.0,High Risk
LAS TINAJAS,94110,2017-07-21,7,21,75.0,Low Risk
Green Olive,94104,2019-04-10,4,10,90.0,Low Risk
Homage,94108,2019-08-13,8,13,89.0,Moderate Risk
Cafe Prague,94111,2016-11-16,11,16,70.0,Low Risk
Lobster ME,94103,2017-10-18,10,18,85.0,Moderate Risk
DON RAMON,94103,2019-03-19,3,19,92.0,Low Risk
Loews Regency San Francisco (Pantry),94104,2019-01-09,1,9,85.0,High Risk
Wonderful Dessert & Cafe,94122,2019-08-07,8,7,92.0,Low Risk
Jackson Fillmore Trattoria,94115,2018-03-22,3,22,90.0,Moderate Risk
The Front Porch,94110,2017-10-30,10,30,86.0,Low Risk
Kippu Japanese Restaurant,94115,2018-06-25,6,25,76.0,Low Risk
WON TON HOUSE,94122,2018-06-11,6,11,82.0,High Risk
CHA-AM RESTAURANT,94107,2016-09-01,9,1,83.0,Moderate Risk
Barrel Proof,94110,2019-04-30,4,30,92.0,Low Risk
Mi Lindo Peru,94110,2017-10-26,10,26,89.0,Low Risk
Nonna Rose Restaurant,94133,2019-04-16,4,16,90.0,Low Risk
MONROE RESIDENCE CLUB,94109,2016-12-14,12,14,74.0,Moderate Risk
LITTLE HENRY'S,94121,2019-07-02,7,2,84.0,Moderate Risk
Lord Stanley,94109,2016-10-04,10,4,96.0,Moderate Risk
CAFE COLE,94117,2017-02-27,2,27,79.0,Low Risk
AT&T - (CART 45) SNOW CONES view [145132],94107,2017-04-24,4,24,98.0,Low Risk
Ajisen Ramen,94103,2017-03-29,3,29,85.0,Moderate Risk
LA PAZ RESTAURANT,94110,2019-05-09,5,9,81.0,High Risk
Swensen's of SF Inc,94109,2018-02-13,2,13,96.0,Low Risk
"OPERA HOUSE - BASEMENT,LOWER LOUNGE",94102,2018-04-23,4,23,89.0,Low Risk
Spin,94107,2018-06-11,6,11,92.0,Low Risk
Little Heaven Deli,94110,2019-07-01,7,1,91.0,High Risk
TENDERLOIN ELEMENTARY SCHOOL,94102,2019-03-01,3,1,88.0,Low Risk
Latte Express #5,94108,2019-05-31,5,31,90.0,Low Risk
Uncle Cafe,94108,2018-12-18,12,18,69.0,Low Risk
Mike Market,94124,2017-01-19,1,19,94.0,Low Risk
WORKING GIRLS' CAFE #4,94105,2019-05-13,5,13,92.0,Low Risk
MISSION YMCA SENIOR MEALS PROGRAM,94112,2019-06-24,6,24,91.0,Low Risk
The Slice,94114,2019-07-30,7,30,94.0,Moderate Risk
Ming Kee Restaurant,94112,2018-03-29,3,29,88.0,Moderate Risk
94982 Crazy Crab'z Food Cart,94107,2018-09-11,9,11,96.0,Moderate Risk
El Cafetazo,94103,2018-05-31,5,31,85.0,Low Risk
PHUKET THAI RESTAURANT,94117,2019-04-10,4,10,71.0,Moderate Risk
Cafe Venue,94104,2016-12-29,12,29,90.0,Moderate Risk
Pasta Moto of San Francisco Centre LLC,94103,2017-04-27,4,27,77.0,Low Risk
Irish Times Bar and Grill,94111,2019-03-11,3,11,80.0,High Risk
Yonkers Cafe Inc,94122,2016-10-18,10,18,74.0,Moderate Risk
B44,94104,2018-10-31,10,31,81.0,Moderate Risk
Yum Yum Hunan,94115,2017-01-03,1,3,77.0,Moderate Risk
Bow Hon Restaurant,94108,2016-12-05,12,5,78.0,Moderate Risk
HOM KOREAN KITCHEN,94102,2019-07-16,7,16,87.0,Low Risk
Subway #68745,94102,2019-01-03,1,3,88.0,Low Risk
Chef Li's Cafe,94134,2018-05-09,5,9,81.0,Moderate Risk
The Mayflower,94112,2018-08-02,8,2,90.0,Low Risk
MUDDY WATERS,94110,2017-10-03,10,3,92.0,Moderate Risk
Sutter Cafe,94108,2018-03-30,3,30,92.0,Moderate Risk
GOLDEN CHARIOT BAKERY & REST,94121,2016-10-17,10,17,80.0,Low Risk
Sakesan,94118,2019-01-25,1,25,85.0,High Risk
EL PIPILA,94103,2019-01-30,1,30,94.0,Moderate Risk
Wok Station Inc,94122,2018-05-14,5,14,85.0,Low Risk
Milan,94102,2017-02-23,2,23,87.0,High Risk
HOWARD'S CAFE,94122,2018-09-27,9,27,75.0,High Risk
Uncle Benny's Donut & Bagel,94122,2018-06-29,6,29,96.0,Low Risk
Joe & The Juice Howard,94105,2018-04-26,4,26,94.0,Moderate Risk
Wok In Chinese American Food,94124,2017-02-23,2,23,73.0,Low Risk
Seoul Garden Restaurant,94115,2018-07-31,7,31,87.0,High Risk
Sushi Uma Inc,94122,2017-07-19,7,19,84.0,Moderate Risk
The Creamery,94107,2017-08-07,8,7,81.0,Moderate Risk
Golden Burma Restaurant,94103,2018-04-23,4,23,85.0,High Risk
Little Szechuan,94133,2019-04-04,4,4,77.0,Low Risk
The Spice Jar,94110,2019-04-24,4,24,84.0,Low Risk
TSING TAO RESTAURANT,94121,2017-07-20,7,20,78.0,Low Risk
Jijime,94121,2018-12-07,12,7,90.0,Moderate Risk
China House Jumbo Seafood Restaurant,94133,2019-04-08,4,8,90.0,Moderate Risk
Buena Vista Cafe,94109,2017-07-10,7,10,98.0,Low Risk
Martha & Bros. Coffee Co,94122,2018-10-12,10,12,85.0,Moderate Risk
New Asia Restaurant,94133,2017-11-30,11,30,76.0,Low Risk
Kio Ramen,94121,2016-10-21,10,21,72.0,Low Risk
Cafe Med,94104,2019-02-06,2,6,81.0,High Risk
Ben & Jerry's Haight-Ashbury,94117,2018-08-20,8,20,96.0,Low Risk
Oasis Grill,94111,2017-09-18,9,18,70.0,Moderate Risk
Sun Sang Market,94133,2019-05-21,5,21,79.0,Low Risk
TAQUERIA EL BUEN SABOR,94112,2017-09-26,9,26,83.0,Low Risk
The Blue Light,94123,2018-01-03,1,3,78.0,Moderate Risk
ABC Falafel,94109,2018-08-16,8,16,80.0,High Risk
Tender Greens,94107,2016-09-19,9,19,96.0,Low Risk
Good Luck Market,94116,2016-11-28,11,28,82.0,Low Risk
Rumors,94103,2019-08-05,8,5,84.0,Low Risk
AFC SUSHI @ SAFEWAY 1507,94114,2018-05-04,5,4,92.0,Moderate Risk
Mama Coco's Restuarant,94112,2019-01-22,1,22,83.0,Low Risk
Hard Knox Cafe,94121,2019-01-02,1,2,90.0,Low Risk
NKG Cafe,94134,2018-05-02,5,2,90.0,Low Risk
Rumors,94103,2019-08-05,8,5,84.0,Low Risk
Jane,94109,2018-05-15,5,15,85.0,Low Risk
San Francisco Japan Center Chocolate Chair Inc.,94115,2018-04-16,4,16,81.0,Moderate Risk
Cafe Le,94109,2018-03-21,3,21,89.0,Moderate Risk
Avedano's,94110,2019-06-11,6,11,90.0,Moderate Risk
Ayola,94108,2019-02-04,2,4,84.0,Moderate Risk
"Plentea, Inc.",94108,2019-03-26,3,26,82.0,Low Risk
Turtle Tower Restaurant,94109,2018-08-31,8,31,86.0,Moderate Risk
Julia Morgan Ballroom,94104,2017-10-10,10,10,90.0,Low Risk
Mi Yucatan,94110,2018-01-31,1,31,90.0,Moderate Risk
TAIWAN RESTAURANT,94118,2017-04-25,4,25,68.0,High Risk
Ritz-Carlton SF - Club Lounge,94108,2017-04-10,4,10,92.0,Moderate Risk
Quality Gas For Your Car Arco AM/PM,94112,2016-12-17,12,17,92.0,Moderate Risk
Kama Sushi Soma,94103,2019-03-12,3,12,86.0,Low Risk
The Clay Pot House LLC,94118,2019-03-14,3,14,78.0,Low Risk
New Cheung Hing Restaurant LLC.,94122,2018-07-10,7,10,83.0,Low Risk
ITHAI,94109,2016-11-08,11,8,59.0,Low Risk
Ganim's Market,94107,2017-11-06,11,6,92.0,Moderate Risk
Golden Horse Restaurant,94109,2016-09-30,9,30,68.0,Low Risk
M & M SHORTSTOP,94134,2016-09-03,9,3,76.0,High Risk
EL TACO LOCO INC.,94110,2019-05-09,5,9,92.0,Moderate Risk
Civic Restaurant & Bar,94102,2018-05-24,5,24,71.0,Moderate Risk
El Ahorro,94110,2019-04-29,4,29,88.0,Low Risk
Basil Canteen,94103,2017-06-29,6,29,71.0,Moderate Risk
Starbucks Coffee #5431,94105,2019-06-05,6,5,96.0,Low Risk
Mi Tierra Market,94110,2017-07-24,7,24,57.0,Low Risk
La Loma Produce #8,94110,2019-02-11,2,11,72.0,Low Risk
Bob's Donuts and Pastries,94109,2016-10-17,10,17,90.0,Moderate Risk
Toy Soldier,94104,2017-10-02,10,2,96.0,Low Risk
Caffe Bianco,94104,2019-07-12,7,12,78.0,Low Risk
Trademark/Copyright,94103,2018-07-24,7,24,94.0,Low Risk
Tip Top Market,94102,2018-09-24,9,24,67.0,High Risk
Trader Joe's,94133,2016-11-09,11,9,92.0,Moderate Risk
HIGHER GROUNDS,94131,2019-07-02,7,2,96.0,Low Risk
Jamie Supermarket,94133,2019-04-22,4,22,86.0,Moderate Risk
DESTINATION BAKING COMPANY,94131,2017-01-04,1,4,86.0,Low Risk
Russian Renaissance Restaurant,94118,2017-09-29,9,29,88.0,Moderate Risk
OZ Pizza,94114,2018-04-17,4,17,80.0,Moderate Risk
Tsing Tao #2,94115,2018-05-09,5,9,79.0,High Risk
Rico Pan Bakery,94110,2017-06-21,6,21,87.0,Low Risk
LA ALTENA,94110,2016-11-29,11,29,82.0,Moderate Risk
Sugarhill Kitchen,94123,2019-04-30,4,30,85.0,Low Risk
Fresco Pizza and Grill,94109,2018-09-04,9,4,83.0,Moderate Risk
Chubby Noodle,94133,2016-08-24,8,24,91.0,Low Risk
Nonna Rose Restaurant,94133,2018-02-20,2,20,90.0,Low Risk
SOUTH BEACH CAFE,94107,2018-06-07,6,7,90.0,Low Risk
Ajisen Ramen,94103,2018-01-08,1,8,80.0,High Risk
Las Palmeras,94110,2018-08-06,8,6,75.0,Moderate Risk
CAFE VALOR,94102,2018-11-30,11,30,96.0,Low Risk
Blaze Pizza Fast-Fire'd,94132,2018-08-07,8,7,78.0,High Risk
Original US Restaurant,94133,2019-02-26,2,26,96.0,Low Risk
Sweet Lime Inc.,94115,2019-03-11,3,11,90.0,Moderate Risk
Ippudo,94103,2018-06-13,6,13,92.0,Low Risk
Halal Cart LLC,94105,2019-04-03,4,3,96.0,Low Risk
Moscone Convention Center - Stand #2,94103,2018-08-09,8,9,98.0,Low Risk
Keeva Indian Kitchen,94118,2017-10-03,10,3,90.0,Low Risk
Whole Cakes,94105,2018-05-01,5,1,89.0,High Risk
ALAMO SQUARE,94117,2018-05-15,5,15,85.0,Low Risk
TSING TAO RESTAURANT,94121,2017-07-20,7,20,78.0,Low Risk
Great Steak and Potato,94132,2017-10-11,10,11,90.0,Moderate Risk
Chinatown Restaurant,94108,2017-07-06,7,6,70.0,High Risk
Vital Tea Leaf Inc,94108,2016-09-13,9,13,96.0,Low Risk
Sakana,94109,2019-04-30,4,30,90.0,Moderate Risk
SF BAGEL CO. (KATZ BAGELS),94103,2016-11-29,11,29,81.0,Low Risk
Cup A Joe Coffehaus,94109,2017-02-03,2,3,77.0,Low Risk
McDonald's,94112,2017-03-14,3,14,92.0,Moderate Risk
Perilla Vietnamese Cuisine,94122,2018-08-21,8,21,76.0,Moderate Risk
Yum Yum Hunan,94115,2019-04-30,4,30,71.0,High Risk
Starbucks Coffee Co,94108,2017-09-22,9,22,98.0,Low Risk
Honey Honey Cafe,94109,2019-02-06,2,6,82.0,Low Risk
"Tokyo Katana-Ya, LLC",94102,2017-12-05,12,5,78.0,Moderate Risk
Homage,94108,2017-02-10,2,10,92.0,Low Risk
John Colins,94105,2017-12-14,12,14,90.0,Low Risk
Wok And Go,94110,2018-06-11,6,11,84.0,Low Risk
BBC cafe,94124,2017-01-13,1,13,92.0,Moderate Risk
Street Taco,94117,2017-02-23,2,23,79.0,Moderate Risk
Elks Club,94102,2019-05-15,5,15,91.0,Low Risk
ST. ANNE,94122,2016-12-02,12,2,91.0,Low Risk
Mission Shell,94110,2016-09-21,9,21,92.0,Low Risk
NORTH BEACH PIZZA,94116,2017-08-30,8,30,87.0,Moderate Risk
MISSION BURGER,94110,2017-09-27,9,27,96.0,Low Risk
B-Side,94102,2018-08-17,8,17,91.0,High Risk
NOVY,94114,2019-08-01,8,1,98.0,Low Risk
Arizmendi Bakery,94110,2018-01-10,1,10,88.0,Moderate Risk
JAVA SUPREME,94110,2017-10-12,10,12,87.0,Low Risk
Barnzu,94109,2018-07-17,7,17,92.0,Moderate Risk
MISS TOMATO SANDWICH SHOP,94102,2017-11-20,11,20,88.0,Low Risk
Saiwaii Ramen,94122,2019-05-14,5,14,94.0,Low Risk
Farmers Market & Produce,94109,2017-09-14,9,14,92.0,Low Risk
Media Noche,94110,2018-04-16,4,16,90.0,Moderate Risk
Belly Burger,94121,2018-12-03,12,3,79.0,Moderate Risk
TAQUERIA EL FAROLITO,94110,2018-07-30,7,30,88.0,Low Risk
Ghirardelli Chocolate,94103,2017-04-21,4,21,94.0,Low Risk
The Organic Coup,94105,2017-07-07,7,7,92.0,Moderate Risk
Chipotle Mexican Grill #0839,94105,2017-01-20,1,20,90.0,Low Risk
KING OF THAI NOODLE HOUSE,94118,2018-11-29,11,29,83.0,Moderate Risk
Punch Line San Francisco,94111,2017-07-27,7,27,88.0,Moderate Risk
Saigon Sandwiches,94109,2018-05-02,5,2,65.0,Moderate Risk
KING'S BAKERY,94110,2017-08-03,8,3,88.0,Moderate Risk
Taqueria Dos Charros,94132,2019-05-06,5,6,96.0,Moderate Risk
King of Thai Noodles Cafe,94116,2016-12-12,12,12,81.0,High Risk
Fresh Meat Seafood Market,94110,2019-05-01,5,1,94.0,Moderate Risk
Silver Market Inc.,94134,2018-04-30,4,30,76.0,Moderate Risk
Mugizo,94115,2016-08-24,8,24,79.0,Moderate Risk
Quickly,94132,2017-06-22,6,22,84.0,Moderate Risk
Blaze Pizza Fast-Fire'd,94132,2018-08-07,8,7,78.0,Low Risk
JANNAH,94117,2017-11-15,11,15,76.0,Low Risk
Starbucks Coffee,94111,2017-10-03,10,3,94.0,Low Risk
One Waan Thai,94131,2019-08-14,8,14,96.0,Moderate Risk
Chabaa Thai Cuisine INC.,94122,2018-12-05,12,5,86.0,Moderate Risk
Tacolicious,94133,2019-01-17,1,17,81.0,Moderate Risk
K's Kitchen,94127,2018-08-07,8,7,92.0,Low Risk
COSTCO WHOLESALE,94107,2017-10-25,10,25,94.0,Low Risk
Halal Cart SF,94105,2019-02-21,2,21,62.0,Moderate Risk
SF BAGEL CO. (KATZ BAGELS),94103,2018-01-10,1,10,79.0,Low Risk
"AAA Vegi, Inc",94118,2019-06-18,6,18,92.0,Low Risk
