,Coffee,Size,Tip
948,Latte,Md,1.97
949,Cappuccino,Md,0.0
950,Cappuccino,Lg,1.04
951,Cappuccino,Sm,2.53
952,Macchiato,Sm,0.71
953,Espresso,Lg,0.0
954,Cappuccino,Lg,1.72
955,Cappuccino,Md,4.32
956,Macchiato,Sm,1.95
957,Macchiato,Sm,1.51
958,Latte,Sm,2.98
959,Latte,Md,2.13
960,Espresso,Lg,0.49
961,Cappuccino,Md,0.82
962,Latte,Sm,0.0
963,Macchiato,Sm,0.85
964,Latte,Sm,2.99
965,Latte,Sm,2.49
966,Macchiato,Sm,2.59
967,Macchiato,Sm,2.32
968,Latte,Sm,2.56
969,Americano,Sm,2.62
970,Latte,Md,0.0
971,Cappuccino,Lg,3.15
972,Latte,Lg,1.02
973,Macchiato,Sm,2.54
974,Americano,Md,0.16
975,Americano,Lg,1.83
976,Cappuccino,Lg,0.21
977,Macchiato,Sm,0.91
978,Latte,Lg,0.43
979,Espresso,Md,2.66
980,Cappuccino,Md,2.26
981,Latte,Lg,1.49
982,Cappuccino,Md,1.63
983,Latte,Md,4.3
984,Cappuccino,Sm,3.46
985,Macchiato,Sm,1.82
986,Cappuccino,Lg,2.56
987,Cappuccino,Md,4.14
988,Espresso,Sm,1.55
989,Macchiato,Sm,0.97
990,Latte,Md,2.43
991,Cappuccino,Lg,2.88
992,Latte,Lg,2.32
993,Americano,Md,2.5
994,Latte,Md,0.91
995,Latte,Sm,2.12
996,Latte,Sm,0.63
997,Cappuccino,Md,2.32
998,Espresso,Lg,1.94
999,Cappuccino,Md,0.6
